Number of points: 232050
SW:(40.700000 , -74.000000)
NE:(40.800000 , -73.930000) 

Partition with N = 25 and 20 consumer threads

Partition          0 : [   0,     0]
Partition   10000000 : [   0,     5]
Partition   20000000 : [   0,     8]
Partition   50000000 : [   0,     1]
Partition   30000000 : [   2,    53]
Partition  220000000 : [   0,     0]
Partition  230000000 : [   0,     0]
Partition    1000000 : [   0,     5]
Partition   11000000 : [   0,     3]
Partition  190000000 : [   0,     0]
Partition   31000000 : [   0,     0]
Partition  240000000 : [   0,     0]
Partition  200000000 : [   0,     1]
Partition   80000000 : [   0,     0]
Partition  160000000 : [   0,     0]
Partition   90000000 : [   0,     0]
Partition   81000000 : [   0,     3]
Partition   91000000 : [   0,     3]
Partition  130000000 : [   0,     0]
Partition  121000000 : [   0,     0]
Partition  110000000 : [   0,     0]
Partition  141000000 : [   0,     0]
Partition  161000000 : [   0,     2]
Partition   71000000 : [   0,     0]
Partition  180000000 : [   0,     0]
Partition  151000000 : [   0,     2]
Partition  201000000 : [   0,     0]
Partition  211000000 : [   0,     0]
Partition  221000000 : [   0,     0]
Partition  231000000 : [   0,     0]
Partition  241000000 : [   0,     0]
Partition    2000000 : [   0,    22]
Partition  111000000 : [   0,     3]
Partition   12000000 : [   1,    19]
Partition   32000000 : [   0,     6]
Partition   42000000 : [   0,     2]
Partition   52000000 : [   0,     0]
Partition  210000000 : [   0,     1]
Partition   72000000 : [   0,     1]
Partition   82000000 : [   0,     0]
Partition   92000000 : [   0,     0]
Partition   41000000 : [   0,     1]
Partition  181000000 : [   0,     0]
Partition   60000000 : [   0,     2]
Partition  122000000 : [   0,    10]
Partition  132000000 : [   1,    24]
Partition  152000000 : [   0,     6]
Partition  162000000 : [   0,     2]
Partition  172000000 : [   0,     6]
Partition   51000000 : [   0,     1]
Partition  100000000 : [   0,     0]
Partition   22000000 : [   0,    12]
Partition   70000000 : [   0,     0]
Partition   62000000 : [   0,     1]
Partition   21000000 : [   0,     1]
Partition  232000000 : [   0,     0]
Partition  202000000 : [   0,     1]
Partition  182000000 : [   0,     4]
Partition  192000000 : [   0,     1]
Partition  222000000 : [   0,     0]
Partition  212000000 : [   0,     2]
Partition  131000000 : [   0,     0]
Partition  142000000 : [   2,    39]
Partition  150000000 : [   0,     1]
Partition  242000000 : [   0,     0]
Partition  191000000 : [   0,     1]
Partition    3000000 : [   3,   105]
Partition  102000000 : [   0,     0]
Partition  101000000 : [   0,     0]
Partition   61000000 : [   0,     0]
Partition   40000000 : [   2,    60]
Partition   53000000 : [   1,    35]
Partition  163000000 : [   0,     5]
Partition   13000000 : [   2,    88]
Partition   63000000 : [   2,    26]
Partition   33000000 : [   2,    60]
Partition  203000000 : [   0,     1]
Partition  213000000 : [   0,     2]
Partition  223000000 : [   0,     0]
Partition  233000000 : [   0,     0]
Partition  243000000 : [   0,     0]
Partition  170000000 : [   0,     1]
Partition   83000000 : [   0,     8]
Partition  113000000 : [   0,     1]
Partition  112000000 : [   0,     4]
Partition   93000000 : [   0,     3]
Partition  133000000 : [   0,    10]
Partition   64000000 : [   0,     9]
Partition   23000000 : [   3,   148]
Partition   84000000 : [   1,    26]
Partition   94000000 : [   0,     3]
Partition  104000000 : [   0,     2]
Partition  114000000 : [   0,     2]
Partition  120000000 : [   0,     0]
Partition  143000000 : [   1,    17]
Partition   54000000 : [   4,    69]
Partition   74000000 : [   1,    50]
Partition  164000000 : [   0,     2]
Partition  174000000 : [   0,     1]
Partition  184000000 : [   0,     1]
Partition  194000000 : [   0,     0]
Partition  204000000 : [   0,     0]
Partition  173000000 : [   0,    12]
Partition  140000000 : [   0,     2]
Partition  193000000 : [   0,     1]
Partition  171000000 : [   0,     3]
Partition  153000000 : [   1,    12]
Partition  124000000 : [   0,     2]
Partition  144000000 : [   1,    41]
Partition  134000000 : [   0,     1]
Partition   43000000 : [   1,    30]
Partition  183000000 : [   0,     0]
Partition  123000000 : [   0,     1]
Partition  154000000 : [   2,    57]
Partition  103000000 : [   0,     1]
Partition   95000000 : [   0,     4]
Partition  105000000 : [   0,     2]
Partition  115000000 : [   0,     3]
Partition   85000000 : [   2,    17]
Partition  135000000 : [   0,     0]
Partition  145000000 : [   0,     1]
Partition  155000000 : [   0,     3]
Partition  165000000 : [   0,     1]
Partition  175000000 : [   0,     6]
Partition  185000000 : [   0,     1]
Partition   73000000 : [   1,    18]
Partition   24000000 : [   4,   179]
Partition  125000000 : [   0,     5]
Partition  214000000 : [   0,     0]
Partition  215000000 : [   0,     0]
Partition  245000000 : [   0,     0]
Partition  225000000 : [   0,     2]
Partition  224000000 : [   0,     1]
Partition  234000000 : [   0,     1]
Partition  195000000 : [   0,     1]
Partition  205000000 : [   0,     3]
Partition  235000000 : [   0,     1]
Partition  244000000 : [   0,     0]
Partition   75000000 : [   3,   156]
Partition   86000000 : [   1,    74]
Partition   96000000 : [   0,     2]
Partition  106000000 : [   0,     3]
Partition  116000000 : [   0,     2]
Partition  126000000 : [   0,     2]
Partition  136000000 : [   0,     0]
Partition  146000000 : [   1,    29]
Partition   44000000 : [   4,   370]
Partition  166000000 : [   1,    20]
Partition  176000000 : [   0,    10]
Partition  186000000 : [   0,     7]
Partition  196000000 : [   0,     2]
Partition  206000000 : [   0,     0]
Partition  156000000 : [   1,    31]
Partition  226000000 : [   0,     1]
Partition  236000000 : [   0,     0]
Partition  246000000 : [   0,     0]
Partition   34000000 : [   4,   369]
Partition    7000000 : [   4,   400]
Partition   35000000 : [   2,   465]
Partition  216000000 : [   0,     1]
Partition   14000000 : [   5,   325]
Partition   76000000 : [   2,   244]
Partition   65000000 : [   4,   239]
Partition   66000000 : [   3,   305]
Partition   87000000 : [   2,   102]
Partition   97000000 : [   2,    45]
Partition  107000000 : [   0,     4]
Partition   45000000 : [   2,   719]
Partition   77000000 : [   4,   335]
Partition   55000000 : [   2,   490]
Partition   56000000 : [   4,   684]
Partition  117000000 : [   0,     3]
Partition  157000000 : [   0,     1]
Partition  137000000 : [   0,     1]
Partition  127000000 : [   0,     0]
Partition  147000000 : [   0,     1]
Partition  167000000 : [   0,     6]
Partition  217000000 : [   0,     0]
Partition  227000000 : [   0,     0]
Partition  237000000 : [   0,     0]
Partition  247000000 : [   0,     0]
Partition  207000000 : [   0,     2]
Partition  197000000 : [   0,     3]
Partition  187000000 : [   1,    21]
Partition   46000000 : [   3,   542]
Partition   15000000 : [   6,   736]
Partition   25000000 : [   5,   506]
Partition   36000000 : [   4,   536]
Partition  177000000 : [   1,    29]
Partition   88000000 : [   4,   191]
Partition   98000000 : [   2,    50]
Partition  108000000 : [   0,     2]
Partition  118000000 : [   0,     0]
Partition  128000000 : [   0,     1]
Partition  138000000 : [   0,     2]
Partition   67000000 : [   2,   810]
Partition  158000000 : [   0,     2]
Partition  168000000 : [   0,     7]
Partition  178000000 : [   1,    53]
Partition  188000000 : [   1,    14]
Partition  198000000 : [   0,     1]
Partition  208000000 : [   0,     2]
Partition  218000000 : [   0,     1]
Partition  228000000 : [   0,     0]
Partition  238000000 : [   0,     1]
Partition  248000000 : [   0,     0]
Partition   78000000 : [   3,   419]
Partition    4000000 : [   3,   474]
Partition   57000000 : [   1,   773]
Partition  148000000 : [   0,     4]
Partition   17000000 : [   3,   525]
Partition   47000000 : [   3,   765]
Partition   68000000 : [   3,   832]
Partition   27000000 : [   3,  1150]
Partition   58000000 : [   2,   812]
Partition   99000000 : [   2,    89]
Partition  109000000 : [   0,     6]
Partition  119000000 : [   0,     4]
Partition  129000000 : [   0,     3]
Partition  139000000 : [   0,     3]
Partition    9000000 : [   5,   972]
Partition    5000000 : [   1,  1281]
Partition   89000000 : [   4,   521]
Partition  179000000 : [   0,     0]
Partition  189000000 : [   1,    14]
Partition  199000000 : [   0,     1]
Partition  209000000 : [   0,     1]
Partition  219000000 : [   0,     4]
Partition  229000000 : [   0,     4]
Partition  239000000 : [   0,     4]
Partition  249000000 : [   0,     6]
Partition  149000000 : [   0,     3]
Partition  159000000 : [   0,     0]
Partition   69000000 : [   2,   909]
Partition    6000000 : [   4,  1196]
Partition   26000000 : [   2,  1140]
Partition  169000000 : [   0,     1]
Partition   18000000 : [   3,   785]
Partition   48000000 : [   2,  1055]
Partition   59000000 : [   3,  1123]
Partition   37000000 : [   1,  1166]
Partition  110000000 : [   0,    14]
Partition  120000000 : [   0,     2]
Partition  130000000 : [   0,     2]
Partition  140000000 : [   0,     4]
Partition  150000000 : [   0,     5]
Partition  160000000 : [   0,     1]
Partition  170000000 : [   1,    21]
Partition  180000000 : [   1,    18]
Partition  190000000 : [   0,     5]
Partition  200000000 : [   0,     2]
Partition  210000000 : [   0,     1]
Partition  220000000 : [   0,     3]
Partition  230000000 : [   0,     6]
Partition  240000000 : [   0,    12]
Partition  250000000 : [   0,     3]
Partition   80000000 : [   5,   849]
Partition   29000000 : [   4,  1525]
Partition   79000000 : [   1,   838]
Partition    8000000 : [   2,  1177]
Partition   16000000 : [   1,  1569]
Partition   10000000 : [   3,   830]
Partition   11000000 : [   2,   775]
Partition   41000000 : [   3,  1195]
Partition   70000000 : [   1,  1162]
Partition  101000000 : [   4,   866]
Partition   40000000 : [   1,  1585]
Partition  121000000 : [   0,    13]
Partition  131000000 : [   0,     5]
Partition  141000000 : [   0,     5]
Partition  151000000 : [   0,     4]
Partition  161000000 : [   0,     7]
Partition   91000000 : [   5,   936]
Partition  111000000 : [   2,   320]
Partition  191000000 : [   2,    50]
Partition  201000000 : [   1,    16]
Partition  211000000 : [   0,    10]
Partition  221000000 : [   0,     5]
Partition  231000000 : [   1,    15]
Partition  241000000 : [   0,    27]
Partition  251000000 : [   2,    36]
Partition   28000000 : [   1,  1254]
Partition  171000000 : [   0,    15]
Partition   12000000 : [   2,   261]
Partition  181000000 : [   0,     9]
Partition   51000000 : [   1,  1214]
Partition   61000000 : [   1,  1938]
Partition   50000000 : [   1,  1849]
Partition   90000000 : [   3,  1310]
Partition   81000000 : [   2,  1239]
Partition   19000000 : [   4,  1535]
Partition   62000000 : [   1,  1080]
Partition  122000000 : [   3,   380]
Partition  132000000 : [   0,    13]
Partition  142000000 : [   0,     5]
Partition  152000000 : [   1,    12]
Partition  162000000 : [   0,     8]
Partition  172000000 : [   0,    11]
Partition  182000000 : [   1,    13]
Partition  192000000 : [   0,     6]
Partition  202000000 : [   1,    37]
Partition  212000000 : [   3,    55]
Partition  222000000 : [   2,    58]
Partition  232000000 : [   1,    25]
Partition  242000000 : [   1,    34]
Partition  252000000 : [   1,    16]
Partition   13000000 : [   2,   529]
Partition   23000000 : [   5,   639]
Partition   60000000 : [   1,  2181]
Partition   21000000 : [   2,  1218]
Partition  112000000 : [   2,  1277]
Partition   31000000 : [   2,  1470]
Partition   30000000 : [   3,  2033]
Partition   49000000 : [   1,  2016]
Partition   38000000 : [   2,  1886]
Partition   20000000 : [   2,  1734]
Partition   33000000 : [   1,  1454]
Partition  100000000 : [   1,  1040]
Partition  133000000 : [   2,   640]
Partition  143000000 : [   4,   153]
Partition  153000000 : [   0,     9]
Partition  163000000 : [   0,     7]
Partition  173000000 : [   0,     2]
Partition  183000000 : [   1,    21]
Partition  193000000 : [   0,     2]
Partition  203000000 : [   0,     8]
Partition  213000000 : [   1,    36]
Partition  223000000 : [   1,    28]
Partition  233000000 : [   0,    18]
Partition  243000000 : [   0,    14]
Partition  253000000 : [   1,    13]
Partition  102000000 : [   1,  2004]
Partition   24000000 : [   4,   342]
Partition   63000000 : [   1,  1849]
Partition   34000000 : [   3,   730]
Partition   71000000 : [   1,  1956]
Partition   82000000 : [   1,  2567]
Partition   73000000 : [   1,  1609]
Partition   22000000 : [   5,  1299]
Partition   52000000 : [   1,  2006]
Partition   39000000 : [   1,  2263]
Partition   84000000 : [   1,  1561]
Partition  123000000 : [   2,  1177]
Partition   72000000 : [   1,  1836]
Partition   54000000 : [   1,  2146]
Partition  154000000 : [   4,   225]
Partition  164000000 : [   3,    47]
Partition  174000000 : [   1,    16]
Partition  184000000 : [   0,     3]
Partition  194000000 : [   0,     2]
Partition  204000000 : [   0,     4]
Partition  214000000 : [   0,     1]
Partition  224000000 : [   0,    10]
Partition  234000000 : [   2,    59]
Partition  244000000 : [   0,    26]
