Number of points: 232050
SW:(40.700000 , -74.000000)
NE:(40.800000 , -73.930000) 

Partition with N = 50 and 20 consumer threads

Partition          0 : [   0,     0]
Partition   30000000 : [   0,     3]
Partition   40000000 : [   0,     3]
Partition   50000000 : [   0,     1]
Partition   20000000 : [   0,     1]
Partition   60000000 : [   1,    19]
Partition  120000000 : [   0,     2]
Partition  130000000 : [   0,     0]
Partition  150000000 : [   0,     0]
Partition  170000000 : [   0,     0]
Partition  190000000 : [   0,     0]
Partition  210000000 : [   0,     0]
Partition   10000000 : [   0,     0]
Partition  260000000 : [   0,     0]
Partition  230000000 : [   0,     0]
Partition  280000000 : [   0,     0]
Partition   80000000 : [   2,    45]
Partition  160000000 : [   0,     0]
Partition  240000000 : [   0,     0]
Partition  140000000 : [   0,     0]
Partition  270000000 : [   0,     0]
Partition  220000000 : [   0,     0]
Partition  310000000 : [   0,     0]
Partition   70000000 : [   2,    31]
Partition  330000000 : [   0,     0]
Partition  350000000 : [   0,     1]
Partition  370000000 : [   0,     0]
Partition  450000000 : [   0,     0]
Partition  470000000 : [   0,     0]
Partition  480000000 : [   0,     0]
Partition  290000000 : [   0,     1]
Partition  100000000 : [   0,     0]
Partition  200000000 : [   0,     0]
Partition   90000000 : [   1,    28]
Partition  340000000 : [   0,     1]
Partition   41000000 : [   0,     3]
Partition   51000000 : [   0,     1]
Partition   61000000 : [   0,     3]
Partition  380000000 : [   0,     0]
Partition   81000000 : [   0,    11]
Partition   71000000 : [   1,    13]
Partition  101000000 : [   0,     0]
Partition  111000000 : [   0,     0]
Partition  121000000 : [   0,     0]
Partition  131000000 : [   0,     0]
Partition  141000000 : [   0,     0]
Partition  151000000 : [   0,     0]
Partition  161000000 : [   0,     0]
Partition  320000000 : [   0,     0]
Partition  250000000 : [   0,     0]
Partition  460000000 : [   0,     0]
Partition  191000000 : [   0,     0]
Partition  201000000 : [   0,     0]
Partition  490000000 : [   0,     0]
Partition  360000000 : [   0,     0]
Partition  390000000 : [   0,     0]
Partition  251000000 : [   0,     0]
Partition  261000000 : [   0,     0]
Partition  271000000 : [   0,     0]
Partition  281000000 : [   0,     0]
Partition  440000000 : [   0,     0]
Partition  291000000 : [   0,     1]
Partition   91000000 : [   0,    10]
Partition  321000000 : [   0,     0]
Partition  331000000 : [   0,     0]
Partition  341000000 : [   0,     0]
Partition  351000000 : [   0,     0]
Partition  181000000 : [   0,     0]
Partition  371000000 : [   0,     0]
Partition  381000000 : [   0,     0]
Partition  391000000 : [   0,     0]
Partition  401000000 : [   0,     0]
Partition  411000000 : [   0,     0]
Partition  421000000 : [   0,     0]
Partition  241000000 : [   0,     0]
Partition  301000000 : [   0,     0]
Partition    1000000 : [   0,     0]
Partition  451000000 : [   0,     0]
Partition  471000000 : [   0,     0]
Partition  481000000 : [   0,     0]
Partition  491000000 : [   0,     0]
Partition    2000000 : [   0,     1]
Partition  441000000 : [   0,     0]
Partition  361000000 : [   0,     0]
Partition  431000000 : [   0,     0]
Partition   42000000 : [   0,     0]
Partition   52000000 : [   0,     0]
Partition   62000000 : [   0,     0]
Partition   72000000 : [   0,     0]
Partition   82000000 : [   0,     0]
Partition   21000000 : [   0,     0]
Partition  110000000 : [   0,     1]
Partition  102000000 : [   0,     1]
Partition  112000000 : [   0,     1]
Partition  430000000 : [   0,     0]
Partition  410000000 : [   0,     1]
Partition  152000000 : [   0,     0]
Partition  162000000 : [   0,     0]
Partition  172000000 : [   0,     3]
Partition  182000000 : [   0,     3]
Partition  192000000 : [   0,     0]
Partition  202000000 : [   0,     0]
Partition  211000000 : [   0,     0]
Partition  180000000 : [   0,     0]
Partition  222000000 : [   0,     0]
Partition  232000000 : [   0,     0]
Partition  311000000 : [   0,     0]
Partition   31000000 : [   0,     2]
Partition  231000000 : [   0,     0]
Partition  122000000 : [   0,     0]
Partition  292000000 : [   0,     0]
Partition  302000000 : [   0,     1]
Partition  312000000 : [   0,     0]
Partition  322000000 : [   0,     0]
Partition  332000000 : [   0,     0]
Partition  132000000 : [   0,     0]
Partition  352000000 : [   0,     1]
Partition  362000000 : [   0,     0]
Partition  372000000 : [   0,     0]
Partition  382000000 : [   0,     0]
Partition  392000000 : [   0,     1]
Partition  420000000 : [   0,     1]
Partition  412000000 : [   0,     0]
Partition  422000000 : [   0,     0]
Partition  252000000 : [   0,     0]
Partition  262000000 : [   0,     0]
Partition  452000000 : [   0,     0]
Partition  400000000 : [   0,     0]
Partition  472000000 : [   0,     0]
Partition  461000000 : [   0,     0]
Partition  492000000 : [   0,     0]
Partition    3000000 : [   0,     3]
Partition   13000000 : [   0,     1]
Partition   23000000 : [   0,     1]
Partition   33000000 : [   0,     0]
Partition   12000000 : [   0,     0]
Partition   53000000 : [   0,     1]
Partition   63000000 : [   0,     0]
Partition   73000000 : [   0,     0]
Partition   83000000 : [   0,     0]
Partition   93000000 : [   0,     0]
Partition  103000000 : [   0,     0]
Partition  432000000 : [   0,     0]
Partition   92000000 : [   0,     1]
Partition  442000000 : [   0,     0]
Partition  462000000 : [   0,     0]
Partition  272000000 : [   0,     0]
Partition  282000000 : [   0,     0]
Partition  482000000 : [   0,     0]
Partition  342000000 : [   0,     1]
Partition  142000000 : [   0,     0]
Partition  203000000 : [   0,     0]
Partition  193000000 : [   0,     0]
Partition  153000000 : [   0,     0]
Partition  233000000 : [   0,     1]
Partition  113000000 : [   0,     0]
Partition  253000000 : [   0,     0]
Partition  263000000 : [   0,     0]
Partition  133000000 : [   0,     0]
Partition  283000000 : [   0,     0]
Partition  293000000 : [   0,     0]
Partition  212000000 : [   0,     0]
Partition  313000000 : [   0,     1]
Partition  323000000 : [   0,     0]
Partition  333000000 : [   0,     2]
Partition  343000000 : [   0,     2]
Partition   43000000 : [   0,     1]
Partition  221000000 : [   0,     0]
Partition  373000000 : [   0,     0]
Partition  383000000 : [   0,     0]
Partition  393000000 : [   0,     0]
Partition  403000000 : [   0,     0]
Partition  413000000 : [   0,     0]
Partition  423000000 : [   0,     0]
Partition  242000000 : [   0,     0]
Partition  213000000 : [   0,     0]
Partition   22000000 : [   0,     0]
Partition  453000000 : [   0,     0]
Partition  402000000 : [   0,     0]
Partition  443000000 : [   0,     0]
Partition  300000000 : [   0,     1]
Partition    4000000 : [   0,     5]
Partition   14000000 : [   0,     4]
Partition  353000000 : [   0,     0]
Partition   24000000 : [   1,    12]
Partition   44000000 : [   0,     3]
Partition   54000000 : [   0,     4]
Partition  273000000 : [   0,     0]
Partition  143000000 : [   0,     0]
Partition  123000000 : [   0,     0]
Partition   32000000 : [   0,     2]
Partition  463000000 : [   0,     0]
Partition  473000000 : [   0,     0]
Partition  243000000 : [   0,     0]
Partition  433000000 : [   0,     0]
Partition  223000000 : [   0,     2]
Partition  144000000 : [   0,     0]
Partition   74000000 : [   0,     1]
Partition   94000000 : [   0,     0]
Partition  163000000 : [   0,     0]
Partition  104000000 : [   0,     0]
Partition  204000000 : [   0,     0]
Partition  214000000 : [   0,     0]
Partition  124000000 : [   0,     0]
Partition  234000000 : [   0,     1]
Partition  244000000 : [   0,     0]
Partition   84000000 : [   0,     0]
Partition  164000000 : [   0,     0]
Partition  274000000 : [   0,     4]
Partition  184000000 : [   0,     0]
Partition  194000000 : [   0,     0]
Partition  294000000 : [   0,    11]
Partition  173000000 : [   0,     0]
Partition  324000000 : [   0,     0]
Partition  334000000 : [   0,     0]
Partition   34000000 : [   1,     8]
Partition  354000000 : [   0,     0]
Partition  364000000 : [   0,     0]
Partition  114000000 : [   0,     0]
Partition  384000000 : [   0,     0]
Partition  394000000 : [   0,     0]
Partition  404000000 : [   0,     1]
Partition  483000000 : [   0,     0]
Partition  254000000 : [   0,     1]
Partition  434000000 : [   0,     1]
Partition  444000000 : [   0,     0]
Partition  454000000 : [   0,     0]
Partition  464000000 : [   0,     0]
Partition  284000000 : [   0,     5]
Partition  363000000 : [   0,     0]
Partition  494000000 : [   0,     0]
Partition    5000000 : [   0,    10]
Partition   64000000 : [   0,     3]
Partition   25000000 : [   0,     6]
Partition   35000000 : [   0,     1]
Partition  344000000 : [   0,     0]
Partition   11000000 : [   0,     0]
Partition  224000000 : [   0,     1]
Partition   75000000 : [   0,     4]
Partition   85000000 : [   0,     1]
Partition   95000000 : [   0,     1]
Partition  171000000 : [   0,     0]
Partition  115000000 : [   0,     0]
Partition  125000000 : [   0,     1]
Partition  135000000 : [   0,     1]
Partition  183000000 : [   0,     0]
Partition  155000000 : [   0,     0]
Partition  165000000 : [   0,     0]
Partition  175000000 : [   0,     0]
Partition  474000000 : [   0,     0]
Partition  185000000 : [   0,     0]
Partition  484000000 : [   0,     0]
Partition  304000000 : [   0,     2]
Partition  374000000 : [   0,     0]
Partition  235000000 : [   0,     2]
Partition  245000000 : [   0,     4]
Partition  134000000 : [   0,     0]
Partition  105000000 : [   0,     0]
Partition  265000000 : [   1,    19]
Partition  275000000 : [   0,     9]
Partition  154000000 : [   0,     0]
Partition  305000000 : [   0,     2]
Partition  295000000 : [   2,    18]
Partition  145000000 : [   0,     1]
Partition  335000000 : [   0,     2]
Partition  345000000 : [   0,     5]
Partition  355000000 : [   0,     4]
Partition  365000000 : [   0,     3]
Partition  375000000 : [   0,     1]
Partition  385000000 : [   0,     1]
Partition  215000000 : [   0,     0]
Partition   45000000 : [   0,     0]
Partition   15000000 : [   0,     5]
Partition  405000000 : [   0,     0]
Partition  425000000 : [   0,     1]
Partition  445000000 : [   0,     0]
Partition  455000000 : [   0,     0]
Partition  465000000 : [   0,     0]
Partition  475000000 : [   0,     0]
Partition  303000000 : [   0,     1]
Partition  485000000 : [   0,     0]
Partition  424000000 : [   0,     1]
Partition  315000000 : [   0,     1]
Partition  414000000 : [   0,     0]
Partition   26000000 : [   1,    23]
Partition   36000000 : [   0,     9]
Partition  325000000 : [   0,     1]
Partition   46000000 : [   1,    23]
Partition  225000000 : [   0,     0]
Partition  205000000 : [   0,     0]
Partition  415000000 : [   0,     0]
Partition  395000000 : [   0,     0]
Partition  195000000 : [   0,     0]
Partition  126000000 : [   0,     1]
Partition  493000000 : [   0,     0]
Partition  146000000 : [   0,     7]
Partition  495000000 : [   0,     0]
Partition  156000000 : [   1,    10]
Partition  166000000 : [   0,     5]
Partition  186000000 : [   0,     3]
Partition  196000000 : [   0,     0]
Partition   86000000 : [   0,     1]
Partition  216000000 : [   0,     1]
Partition   96000000 : [   0,     0]
Partition  236000000 : [   0,     1]
Partition  246000000 : [   0,     0]
Partition  256000000 : [   0,     1]
Partition  266000000 : [   0,     4]
Partition  276000000 : [   0,     3]
Partition  435000000 : [   0,     0]
Partition  255000000 : [   0,     7]
Partition  306000000 : [   0,     1]
Partition  296000000 : [   1,    12]
Partition   56000000 : [   2,    51]
Partition  336000000 : [   0,     2]
Partition  346000000 : [   0,     7]
Partition    6000000 : [   3,    42]
Partition  285000000 : [   1,    20]
Partition  174000000 : [   0,     0]
Partition  376000000 : [   0,     0]
Partition  396000000 : [   0,     1]
Partition  406000000 : [   0,     0]
Partition  416000000 : [   0,     0]
Partition  426000000 : [   0,     1]
Partition  226000000 : [   0,     0]
Partition  446000000 : [   0,     0]
Partition  456000000 : [   0,     0]
Partition  466000000 : [   0,     0]
Partition  476000000 : [   0,     0]
Partition  486000000 : [   0,     0]
Partition  496000000 : [   0,     0]
Partition  326000000 : [   0,     4]
Partition   16000000 : [   1,    66]
Partition  356000000 : [   0,     5]
Partition  366000000 : [   0,     0]
Partition  264000000 : [   1,     8]
Partition  386000000 : [   0,     0]
Partition   76000000 : [   1,    11]
Partition  206000000 : [   0,     0]
Partition   66000000 : [   1,    13]
Partition  436000000 : [   0,     1]
Partition  286000000 : [   0,     4]
Partition  314000000 : [   0,     2]
Partition   65000000 : [   0,     5]
Partition  106000000 : [   0,     1]
Partition  116000000 : [   0,     0]
Partition    7000000 : [   2,    18]
Partition   55000000 : [   0,     9]
Partition  176000000 : [   0,     2]
Partition  316000000 : [   0,     4]
Partition  197000000 : [   0,     0]
Partition  207000000 : [   0,     0]
Partition  217000000 : [   0,     0]
Partition  227000000 : [   0,     0]
Partition  237000000 : [   0,     0]
Partition  247000000 : [   0,     0]
Partition  257000000 : [   0,     0]
